ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,ma5.1,ma10.1,ma20.1,ma60.1,ma120.1,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-09-09,54.25,56.0,54.15,56.0,4357.0,55.73,55.65,54.77,54.32,54.32,55.73,55.65,54.77,54.32,54.32,76.79,65.08,59.72,0.6,0.67,-0.07,55.73,55.65,54.77,54.32,54.32
2024-09-16,56.05,57.0,55.95,56.8,7591.0,55.87,55.68,55.04,54.42,54.42,55.87,55.68,55.04,54.42,54.42,92.98,74.38,64.61,0.66,0.67,-0.01,55.87,55.68,55.04,54.42,54.42
2024-09-23,57.0,57.35,56.85,57.0,10379.0,56.11,55.7,55.25,54.53,54.53,56.11,55.7,55.25,54.53,54.53,89.06,79.27,69.5,0.72,0.68,0.04,56.11,55.7,55.25,54.53,54.53
2024-09-30,56.85,57.5,56.55,57.05,5500.0,56.34,55.85,55.44,54.62,54.62,56.34,55.85,55.44,54.62,54.62,86.57,81.71,73.57,0.75,0.69,0.06,56.34,55.85,55.44,54.62,54.62
2024-10-07,57.65,58.2,57.2,58.15,7728.0,57.0,56.13,55.7,54.75,54.75,57.0,56.13,55.7,54.75,54.75,98.77,87.39,78.17,0.85,0.72,0.13,57.0,56.13,55.7,54.75,54.75
2024-10-14,58.45,59.05,58.4,58.7,7160.0,57.54,56.64,55.99,54.89,54.89,57.54,56.64,55.99,54.89,54.89,88.71,87.83,81.39,0.96,0.76,0.2,57.54,56.64,55.99,54.89,54.89
2024-10-21,58.85,58.85,58.1,58.25,14006.0,57.83,56.85,56.2,55.01,55.01,57.83,56.85,56.2,55.01,55.01,68.0,81.22,81.34,0.99,0.81,0.18,57.83,56.85,56.2,55.01,55.01
2024-10-28,58.4,58.7,57.05,57.15,10341.0,57.86,56.98,56.32,55.08,55.08,57.86,56.98,56.32,55.08,55.08,24.0,62.15,74.94,0.9,0.82,0.08,57.86,56.98,56.32,55.08,55.08
2024-11-04,57.1,60.4,57.0,59.95,25613.0,58.44,57.39,56.57,55.24,55.24,58.44,57.39,56.57,55.24,55.24,86.76,70.35,73.41,1.06,0.86,0.19,58.44,57.39,56.57,55.24,55.24
2024-11-11,60.25,61.05,60.2,60.25,15964.0,58.86,57.93,56.8,55.4,55.4,58.86,57.93,56.8,55.4,55.4,80.25,73.65,73.49,1.18,0.92,0.26,58.86,57.93,56.8,55.4,55.4
