ts,Open,High,Low,Close,Volume,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-08-23,179.0,181.35,178.9,180.95,7913,32.54,43.79,59.15,0.09,-0.88,0.97,182.2,181.1,177.93,182.09,174.38
2024-08-26,182.4,183.4,180.8,181.25,11370,37.3,41.63,53.31,0.13,-0.7,0.83,181.72,181.42,177.96,182.26,174.45
2024-08-27,180.4,180.9,179.75,180.45,5279,34.44,39.23,48.62,0.09,-0.56,0.65,181.06,181.62,177.96,182.47,174.51
2024-08-28,180.5,183.0,179.85,183.0,5461,91.11,56.53,51.25,0.28,-0.4,0.69,181.3,181.84,178.06,182.76,174.6
2024-08-29,179.5,181.15,179.15,180.5,10749,35.56,49.54,50.68,0.2,-0.29,0.5,181.23,181.96,177.89,182.94,174.66
2024-08-30,180.95,182.05,180.65,181.35,8033,51.76,50.28,50.55,0.21,-0.2,0.41,181.31,181.76,178.22,183.18,174.72
2024-09-02,181.9,182.45,180.5,180.85,7984,44.16,48.24,49.78,0.17,-0.13,0.31,181.23,181.48,179.32,183.39,174.78
2024-09-03,181.0,181.5,179.7,180.05,9554,23.38,39.95,46.5,0.07,-0.1,0.17,181.15,181.1,179.95,183.49,174.83
2024-09-04,171.0,173.8,170.0,171.25,29631,10.04,29.98,40.99,-0.77,-0.22,-0.55,178.8,180.05,179.81,183.46,174.8
2024-09-05,172.85,174.65,171.75,172.3,8784,18.47,26.14,36.04,-1.28,-0.41,-0.87,177.16,179.2,179.9,183.44,174.78
2024-09-06,173.0,174.9,171.85,174.75,8537,38.15,30.15,34.08,-1.43,-0.6,-0.83,175.84,178.58,179.84,183.42,174.78
2024-09-09,170.4,172.1,170.3,172.05,15155,17.83,26.04,31.4,-1.75,-0.81,-0.94,174.08,177.66,179.54,183.3,174.75
2024-09-10,173.4,173.4,171.15,172.35,9246,47.96,33.35,32.05,-1.93,-1.01,-0.92,172.54,176.84,179.23,183.17,174.73
2024-09-11,172.35,172.5,171.5,171.85,4949,33.7,33.46,32.52,-2.07,-1.2,-0.87,172.66,175.73,178.79,183.04,174.7
2024-09-12,176.1,178.65,176.1,178.3,15699,95.81,54.24,39.76,-1.58,-1.27,-0.31,173.86,175.51,178.74,182.96,174.73
2024-09-13,179.0,179.35,177.85,178.4,4490,89.5,66.0,48.51,-1.18,-1.26,0.07,174.59,175.21,178.48,182.8,174.77
